,close,MA_Short,MA_Long,MA_True,MA_Cross
0,3808,0.0,0.0,1,0
1,3818,0.0,0.0,1,0
2,3810,0.0,0.0,1,0
3,3804,0.0,0.0,1,0
4,3793,3806.6,0.0,1,0
5,3799,3804.8,0.0,1,0
6,3805,3802.2,0.0,1,0
7,3804,3801.0,0.0,1,0
8,3809,3802.0,0.0,1,0
9,3807,3804.8,3805.7,-1,-1
10,3804,3805.8,3805.3,1,1
11,3800,3804.8,3803.5,1,0
12,3799,3803.8,3802.4,1,0
13,3793,3800.6,3801.3,-1,-1
14,3799,3799.0,3801.9,-1,0
15,3802,3798.6,3802.2,-1,0
16,3800,3798.6,3801.7,-1,0
17,3803,3799.4,3801.6,-1,0
18,3798,3800.4,3800.5,-1,0
19,3788,3798.2,3798.6,-1,0
20,3785,3794.8,3796.7,-1,0
21,3777,3790.2,3794.4,-1,0
22,3778,3785.2,3792.3,-1,0
23,3781,3781.8,3791.1,-1,0
24,3785,3781.2,3789.7,-1,0
25,3786,3781.4,3788.1,-1,0
26,3779,3781.8,3786.0,-1,0
27,3781,3782.4,3783.8,-1,0
28,3778,3781.8,3781.8,-1,0
29,3774,3779.6,3780.4,-1,0
30,3793,3781.0,3781.2,-1,0
31,3791,3783.4,3782.6,1,1
32,3797,3786.6,3784.5,1,0
33,3788,3788.6,3785.2,1,0
34,3791,3792.0,3785.8,1,0
35,3791,3791.6,3786.3,1,0
36,3790,3791.4,3787.4,1,0
37,3788,3789.6,3788.1,1,0
38,3786,3789.2,3788.9,1,0
39,3780,3787.0,3789.5,-1,-1
40,3785,3785.8,3788.7,-1,0
41,3791,3786.0,3788.7,-1,0
42,3790,3786.4,3788.0,-1,0
43,3787,3786.6,3787.9,-1,0
44,3789,3788.4,3787.7,1,1
45,3788,3789.0,3787.4,1,0
46,3789,3788.6,3787.3,1,0
47,3785,3787.6,3787.0,1,0
48,3787,3787.6,3787.1,1,0
49,3785,3786.8,3787.6,-1,-1
50,3783,3785.8,3787.4,-1,0
51,3787,3785.4,3787.0,-1,0
52,3784,3785.2,3786.4,-1,0
53,3782,3784.2,3785.9,-1,0
54,3786,3784.4,3785.6,-1,0
55,3787,3785.2,3785.5,-1,0
56,3786,3785.0,3785.2,-1,0
57,3783,3784.8,3785.0,-1,0
58,3784,3785.2,3784.7,1,1
59,3777,3783.4,3783.9,-1,-1
60,3784,3782.8,3784.0,-1,0
61,3788,3783.2,3784.1,-1,0
62,3787,3784.0,3784.4,-1,0
63,3789,3785.0,3785.1,-1,0
64,3792,3788.0,3785.7,1,1
65,3790,3789.2,3786.0,1,0
66,3792,3790.0,3786.6,1,0
67,3794,3791.4,3787.7,1,0
68,3790,3791.6,3788.3,1,0
69,3787,3790.6,3789.3,1,0
70,3787,3790.0,3789.6,1,0
71,3778,3787.2,3788.6,-1,-1
72,3782,3784.8,3788.1,-1,0
73,3783,3783.4,3787.5,-1,0
74,3783,3782.6,3786.6,-1,0
75,3781,3781.4,3785.7,-1,0
76,3781,3782.0,3784.6,-1,0
77,3786,3782.8,3783.8,-1,0
78,3782,3782.6,3783.0,-1,0
