,close,MA_Short,MA_Long,MA_True,MA_Cross
200,3799,3796.53802936,3794.65109955,1,0
201,3799,3797.35868624,3795.44180872,1,0
202,3799,3797.90579083,3796.08875259,1,0
203,3803,3799.60386055,3797.34534303,1,0
204,3824,3807.73590703,3802.1916443,1,0
205,3824,3813.15727136,3806.15679988,1,0
206,3826,3817.4381809,3809.76465445,1,0
207,3822,3818.95878727,3811.98926273,1,0
208,3830,3822.63919151,3815.26394223,1,0
209,3829,3824.75946101,3817.76140728,1,0
210,3820,3823.17297401,3818.16842414,1,0
211,3818,3821.44864934,3818.13780157,1,0
212,3817,3819.96576622,3817.93092856,1,0
213,3816,3818.64384415,3817.57985064,1,0
214,3821,3819.42922943,3818.20169598,1,0
215,3823,3820.61948629,3819.07411489,1,0
216,3825,3822.07965753,3820.15154855,1,0
217,3830,3824.71977168,3821.94217608,1,0
218,3833,3827.47984779,3823.95268952,1,0
219,3832,3828.98656519,3825.41583688,1,0
220,3830,3829.3243768,3826.24932109,1,0
221,3827,3828.54958453,3826.38580816,1,0
222,3824,3827.03305635,3825.95202486,1,0
223,3819,3824.3553709,3824.68802034,-1,-1
224,3824,3824.23691393,3824.56292573,-1,0
225,3817,3821.82460929,3823.18784833,-1,0
226,3811,3818.21640619,3820.9718759,-1,0
227,3800,3812.1442708,3817.15880756,-1,0
228,3801,3808.42951386,3814.22084255,-1,0
229,3793,3803.28634258,3810.36250754,-1,0
230,3792,3799.52422838,3807.0238698,-1,0
231,3792,3797.01615226,3804.29225711,-1,0
232,3790,3794.67743484,3801.69366491,-1,0
233,3794,3794.45162322,3800.29481674,-1,0
234,3793,3793.96774882,3798.96848643,-1,0
235,3798,3795.31183254,3798.79239799,-1,0
236,3802,3797.5412217,3799.37559835,-1,0
237,3802,3799.02748113,3799.85276229,-1,0
238,3804,3800.68498742,3800.60680551,1,1
239,3803,3801.45665828,3801.04193178,1,0
240,3799,3800.63777219,3800.67067146,-1,-1
241,3794,3798.42518146,3799.4578221,-1,0
242,3789,3795.28345431,3797.5563999,-1,0
243,3787,3792.52230287,3795.63705446,-1,0
244,3787,3790.68153525,3794.06668093,-1,0
245,3787,3789.45435683,3792.78182985,-1,0
246,3786,3788.30290455,3791.54876988,-1,0
247,3789,3788.5352697,3791.08535717,-1,0
248,3793,3790.02351314,3791.43347405,-1,0
249,3790,3790.01567542,3791.1728424,-1,0
250,3787,3789.01045028,3790.41414378,-1,0
251,3799,3792.34030019,3791.97520855,1,1
252,3798,3794.22686679,3793.07062518,1,0
